epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,187.025,1.67794,2.29479,1.7707,0.44719,0.44149,0.40355,0.17172,2.0286,2.032,2.24724,0.00066623,0.00066623,0.00066623
2,364.006,1.72846,1.97315,1.84871,0.57259,0.48371,0.51354,0.21735,1.93518,2.07957,2.09119,0.00126692,0.00126692,0.00126692
3,537.908,1.68039,1.84649,1.81187,0.62171,0.52854,0.57181,0.28946,1.79902,1.68832,1.9606,0.00180161,0.00180161,0.00180161
4,711.136,1.63669,1.74415,1.77615,0.68824,0.57258,0.64997,0.32082,1.74522,1.5427,1.92397,0.001703,0.001703,0.001703
5,895.184,1.58478,1.65044,1.72147,0.77614,0.62549,0.7287,0.36349,1.69899,1.38841,1.83363,0.001604,0.001604,0.001604
6,1079.86,1.54019,1.54991,1.68864,0.79637,0.65859,0.75716,0.40654,1.62605,1.26943,1.76953,0.001505,0.001505,0.001505
7,1263.46,1.50583,1.48294,1.65736,0.79315,0.68153,0.77662,0.41429,1.61772,1.24015,1.74184,0.001406,0.001406,0.001406
8,1436.68,1.46738,1.41477,1.62474,0.77015,0.68882,0.7561,0.41229,1.61976,1.1888,1.7702,0.001307,0.001307,0.001307
9,1610.76,1.44847,1.36857,1.60945,0.86002,0.70941,0.81957,0.45629,1.56829,1.11469,1.70644,0.001208,0.001208,0.001208
10,1784.35,1.42296,1.31098,1.58813,0.85107,0.73125,0.83333,0.467,1.53736,1.05619,1.6853,0.001109,0.001109,0.001109
11,1968.16,1.48179,1.10934,1.65799,0.85515,0.75241,0.84617,0.48956,1.49471,1.0144,1.63798,0.00101,0.00101,0.00101
12,2140.75,1.45164,1.03888,1.6339,0.88003,0.76466,0.86275,0.50196,1.47957,0.98548,1.62879,0.000911,0.000911,0.000911
13,2313.94,1.41344,1.00189,1.60646,0.87801,0.79724,0.88555,0.51973,1.45067,0.92745,1.59013,0.000812,0.000812,0.000812
14,2487.5,1.39777,0.95241,1.58312,0.89095,0.78004,0.88151,0.52049,1.43909,0.93449,1.58517,0.000713,0.000713,0.000713
15,2660.3,1.37709,0.91961,1.56948,0.88879,0.80611,0.89425,0.53191,1.43104,0.87615,1.57587,0.000614,0.000614,0.000614
16,2833.24,1.36375,0.88146,1.55898,0.90847,0.81737,0.90443,0.53719,1.43758,0.85641,1.57645,0.000515,0.000515,0.000515
17,3006.15,1.33891,0.84311,1.52731,0.89773,0.81913,0.90403,0.54813,1.40017,0.8439,1.54816,0.000416,0.000416,0.000416
18,3179.14,1.31303,0.81437,1.5152,0.90821,0.83812,0.9132,0.55221,1.39806,0.81828,1.53474,0.000317,0.000317,0.000317
19,3352.21,1.28943,0.78625,1.48844,0.90812,0.83998,0.91721,0.56052,1.3773,0.803,1.51402,0.000218,0.000218,0.000218
20,3525.89,1.26972,0.76469,1.47543,0.91954,0.83996,0.9221,0.56917,1.37346,0.76895,1.50491,0.000119,0.000119,0.000119
