epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,272.83,1.6655,2.2987,1.77892,0.45347,0.42707,0.39577,0.18404,2.0209,2.0488,2.25627,0.00066623,0.00066623,0.00066623
2,508.791,1.72648,1.95834,1.83952,0.59188,0.50795,0.53194,0.25345,1.82639,1.80992,1.95839,0.00124493,0.00124493,0.00124493
3,767.706,1.67849,1.84207,1.80843,0.67771,0.55304,0.62325,0.30968,1.78369,1.562,1.9317,0.00173562,0.00173562,0.00173562
4,1002.94,1.61823,1.71128,1.76119,0.65949,0.58223,0.61955,0.31093,1.73626,1.5211,1.86663,0.001604,0.001604,0.001604
5,1243.42,1.56573,1.6002,1.70659,0.7777,0.64477,0.74136,0.38363,1.65817,1.32745,1.81653,0.001472,0.001472,0.001472
6,1518.53,1.60113,1.35192,1.7778,0.77984,0.64529,0.74443,0.39843,1.63224,1.27383,1.80084,0.00134,0.00134,0.00134
7,1765.36,1.55925,1.2488,1.74088,0.81649,0.70367,0.79576,0.43286,1.56285,1.18136,1.71943,0.001208,0.001208,0.001208
8,2022.88,1.51769,1.17465,1.69827,0.85228,0.7412,0.83948,0.46418,1.5649,1.07704,1.71834,0.001076,0.001076,0.001076
9,2280.11,1.48256,1.10216,1.67224,0.85408,0.74897,0.84592,0.48254,1.50396,1.04457,1.65478,0.000944,0.000944,0.000944
10,2530.02,1.45084,1.04673,1.64263,0.85305,0.76096,0.85432,0.49556,1.48917,1.00114,1.64086,0.000812,0.000812,0.000812
11,2785.63,1.41775,0.99957,1.60159,0.86882,0.77222,0.87073,0.51385,1.43493,0.96589,1.58933,0.00068,0.00068,0.00068
12,3038.54,1.38395,0.94789,1.57994,0.87168,0.78959,0.87864,0.51775,1.44403,0.93418,1.58882,0.000548,0.000548,0.000548
13,3295.84,1.36022,0.90088,1.56072,0.89686,0.81587,0.8997,0.54178,1.41568,0.87062,1.56404,0.000416,0.000416,0.000416
14,3473.02,1.32894,0.85193,1.53178,0.90623,0.82114,0.90848,0.54786,1.40604,0.84683,1.55034,0.000284,0.000284,0.000284
15,3646.36,1.30744,0.81641,1.50656,0.9065,0.83555,0.91498,0.55798,1.39446,0.82548,1.53387,0.000152,0.000152,0.000152
